loannumber,historial,referido,flag,age,due_per_day,interes,cuenta_corriente,cuenta_otra,cuenta_ahorro,pib_capita,employment
2,1,1,1,47,433,30.0,0,0,1,2065,1
3,1,1,1,36,433,30.0,0,0,1,2065,2
2,1,1,1,34,433,30.0,0,0,1,1632,1
2,1,1,1,28,433,30.0,0,0,1,2065,2
6,1,1,1,37,1150,15.0,0,0,1,907,2
7,0,1,1,27,433,30.0,0,0,1,2065,2
2,1,3,1,38,766,15.0,0,0,1,2065,2
10,1,1,1,39,958,15.0,0,0,1,2065,2
10,1,1,1,39,800,20.0,0,0,1,2201,2
6,1,1,1,35,816,22.5,0,0,1,2065,1
2,1,1,0,37,433,30.0,0,0,1,1632,2
10,0,1,0,36,1150,15.0,0,0,1,1650,2
3,1,1,0,33,433,30.0,0,0,1,2061,2
6,1,1,0,33,1150,15.0,0,1,0,900,0
4,0,0,0,40,766,15.0,0,0,1,60365,2
2,1,1,0,46,433,30.0,0,0,1,1099,2
4,0,1,0,32,766,15.0,0,0,1,2065,2
2,1,1,0,44,766,15.0,0,0,1,1631,1
3,1,1,0,34,433,30.0,0,0,1,2276,0
5,1,1,1,30,741,11.25,0,1,0,981,2
2,1,1,0,41,766,15.0,0,0,1,2201,2
10,1,1,1,28,733,10.0,0,0,1,1003,2
10,0,1,1,29,733,10.0,0,0,1,1632,2
5,1,1,1,35,612,22.5,0,0,1,2276,2
11,0,1,1,35,1150,15.0,0,1,0,2065,2
4,1,3,1,33,650,30.0,0,0,1,2276,0
2,1,3,0,31,433,30.0,0,0,1,2065,1
2,1,3,1,46,766,15.0,0,0,1,1003,2
3,1,3,1,29,816,22.5,0,0,1,2065,2
3,1,1,1,48,766,15.0,0,1,0,2065,2
3,0,1,1,33,433,30.0,0,0,1,2065,1
2,1,1,1,28,433,30.0,0,0,1,2065,2
3,1,3,1,42,433,30.0,0,0,1,2065,1
4,1,1,1,29,816,22.5,0,0,1,2201,1
6,0,1,0,33,766,15.0,0,0,1,38269,2
12,1,1,1,54,1466,10.0,0,0,1,2065,2
3,1,1,1,46,433,30.0,0,0,1,2065,2
2,1,1,1,29,766,15.0,0,0,1,2065,0
2,1,1,1,34,433,30.0,0,0,1,2065,2
8,1,1,0,31,816,22.5,0,1,0,2273,0
2,1,3,1,41,433,30.0,0,0,1,2065,1
4,1,1,1,33,1483,11.25,0,0,1,2065,2
3,1,3,1,30,733,10.0,0,0,1,1048,2
2,1,3,1,39,433,30.0,0,0,1,2065,2
5,0,1,1,38,1483,11.25,0,1,0,1632,2
2,0,1,1,39,433,30.0,0,0,1,2201,2
14,1,1,1,44,700,5.0,0,1,0,1064,2
2,0,1,1,30,766,15.0,0,0,1,2065,2
10,1,1,1,37,1466,10.0,0,1,0,1048,2
2,1,3,1,51,433,30.0,1,0,0,2065,2
2,1,1,1,37,433,30.0,0,0,1,1631,2
2,1,1,1,39,766,15.0,0,0,1,2273,2
2,1,3,1,37,766,15.0,0,0,1,2065,2
7,1,1,1,53,1150,15.0,0,1,0,1048,2
4,0,1,0,33,766,15.0,0,0,1,2065,1
2,1,1,1,38,766,15.0,0,0,1,2065,2
4,0,1,1,34,433,30.0,0,0,1,1099,2
9,0,1,1,29,766,15.0,0,0,1,1632,0
3,0,1,1,40,433,30.0,0,0,1,2061,2
2,1,1,1,39,766,15.0,1,0,0,2201,2
3,1,1,1,39,433,30.0,0,0,1,1099,2
7,1,1,1,35,650,30.0,0,0,1,2065,2
11,1,1,1,40,1466,10.0,0,1,0,2201,2
2,1,1,1,31,766,15.0,0,0,1,2201,1
9,1,1,0,30,1483,11.25,0,0,1,2329,1
9,1,1,1,32,1150,15.0,0,0,1,1099,2
2,1,1,1,46,433,30.0,0,0,1,2201,2
7,1,1,1,28,766,15.0,0,1,0,2273,2
10,1,1,1,48,650,30.0,0,1,0,2065,2
9,1,1,1,28,650,30.0,0,0,1,1632,0
4,0,1,1,40,816,22.5,0,1,0,2276,2
7,0,1,1,42,816,22.5,0,0,1,2065,2
6,1,1,1,34,1150,15.0,0,0,1,2201,2
9,1,1,0,42,650,30.0,0,0,1,929,2
14,1,1,1,45,1466,10.0,0,1,0,2065,2
15,0,1,1,41,1150,15.0,0,1,0,2065,2
5,1,1,1,32,816,22.5,0,0,1,1632,2
3,1,3,1,38,433,30.0,0,0,1,2065,1
2,1,1,0,32,433,30.0,0,0,1,2061,2
13,0,1,1,34,1150,15.0,0,0,1,2061,2
2,1,3,1,39,433,30.0,0,0,1,2065,2
5,1,3,1,43,816,22.5,0,0,1,907,1
2,1,1,1,47,433,30.0,0,0,1,2065,2
2,1,3,1,37,766,15.0,0,0,1,1390,2
5,1,1,1,42,816,22.5,0,0,1,2329,2
3,1,1,1,35,433,30.0,0,0,1,2065,1
5,1,1,0,43,433,30.0,0,0,1,981,2
4,1,1,1,36,612,22.5,0,0,1,2276,2
5,1,1,1,44,816,22.5,0,0,1,2329,1
4,1,1,1,38,816,22.5,0,0,1,2201,2
3,1,1,1,38,433,30.0,0,0,1,2065,2
6,0,1,1,32,433,30.0,0,0,1,1390,2
2,0,1,1,31,433,30.0,0,0,1,798,0
4,1,3,1,37,816,22.5,0,0,1,2065,0
5,1,1,1,33,1483,11.25,0,0,1,2065,2
2,1,1,1,34,766,15.0,0,0,1,2065,1
2,1,1,0,38,433,30.0,0,0,1,2061,1
4,0,1,1,53,433,30.0,0,0,1,2061,2
2,0,0,1,34,433,30.0,0,0,1,2065,2
4,1,1,1,37,816,22.5,0,0,1,2065,2
2,1,3,1,34,433,30.0,0,0,1,2065,1
2,1,1,0,42,433,30.0,0,0,1,2065,1
4,0,1,0,48,433,30.0,0,0,1,2065,2
3,0,0,0,31,433,30.0,0,0,1,1390,2
2,0,1,0,31,766,15.0,0,0,1,2061,1
2,0,1,0,46,766,15.0,0,0,1,2065,2
3,1,1,0,35,433,30.0,0,0,1,2065,2
3,0,1,0,29,816,22.5,0,1,0,2065,2
13,1,1,1,38,1466,10.0,0,1,0,1632,2
14,1,1,1,31,800,20.0,0,0,1,2065,2
8,1,1,1,33,1466,10.0,0,1,0,2065,2
8,1,1,1,28,800,20.0,0,1,0,1390,2
3,1,1,1,47,816,22.5,0,1,0,2065,2
3,1,1,1,45,766,15.0,0,0,1,2065,2
3,0,1,1,31,433,30.0,0,0,1,1390,2
8,1,1,1,39,1150,15.0,0,0,1,2201,1
4,1,1,1,38,1483,11.25,0,0,1,2065,2
5,0,1,0,30,766,15.0,0,0,1,2065,2
9,1,1,1,30,766,15.0,0,1,0,2061,2
2,1,1,1,32,766,15.0,0,0,1,934,2
8,0,1,1,41,816,22.5,0,0,1,2065,2
2,1,1,1,49,766,15.0,0,0,1,2201,1
2,1,1,0,52,433,30.0,0,0,1,2065,2
8,1,1,1,47,1150,15.0,0,0,1,2065,1
2,1,1,1,41,766,15.0,0,0,1,907,2
8,1,1,1,44,1150,15.0,0,0,1,2061,1
2,1,1,1,50,433,30.0,1,0,0,1048,2
9,1,1,1,28,1466,10.0,0,1,0,1390,0
5,0,1,1,39,433,30.0,0,1,0,2061,2
3,1,1,1,41,433,30.0,0,0,1,2065,1
2,1,1,1,43,433,30.0,0,0,1,2065,2
3,1,1,1,30,433,30.0,0,0,1,2065,2
5,1,1,1,40,433,30.0,0,1,0,1064,2
8,1,1,1,29,766,15.0,0,0,1,2065,1
2,1,1,0,30,433,30.0,0,0,1,1631,1
4,0,1,1,28,766,15.0,0,0,1,1099,2
8,0,1,1,27,433,30.0,0,0,1,2065,2
5,1,1,1,30,650,30.0,0,0,1,2230,1
2,0,1,0,35,766,15.0,0,0,1,1048,2
6,0,1,0,29,433,30.0,0,0,1,2065,2
2,1,1,0,42,433,30.0,0,0,1,2065,1
4,0,1,0,28,766,15.0,0,0,1,1632,0
5,0,1,0,37,433,30.0,0,0,1,1632,2
3,0,0,0,28,433,30.0,0,0,1,2065,2
2,0,1,0,31,433,30.0,0,0,1,2276,0
3,1,1,0,29,650,30.0,0,0,1,2065,0
5,1,3,1,33,1150,15.0,0,0,1,2065,2
11,1,1,1,27,638,15.0,0,1,0,2065,2
14,0,1,0,35,1466,10.0,0,0,1,2065,2
4,0,1,1,41,816,22.5,0,0,1,1003,2
7,0,1,1,41,816,22.5,0,1,0,2065,2
7,1,1,1,34,816,22.5,0,0,1,2201,2
7,1,1,1,33,816,22.5,0,0,1,2065,2
5,1,1,1,29,816,22.5,0,0,1,2065,2
3,0,1,1,28,433,30.0,0,0,1,2065,2
6,0,1,1,34,433,30.0,0,0,1,2065,2
3,1,1,1,42,433,30.0,0,0,1,2201,2
3,1,1,1,38,433,30.0,0,0,1,2273,1
2,1,1,0,39,433,30.0,0,0,1,2201,2
3,1,3,1,45,433,30.0,0,0,1,2065,2
2,1,1,1,42,733,10.0,0,0,1,2065,2
7,0,1,1,34,433,30.0,0,0,1,2065,0
7,1,1,1,33,766,15.0,0,0,1,2061,0
12,1,1,1,32,1150,15.0,0,1,0,2065,0
2,1,1,0,30,433,30.0,0,0,1,1099,2
2,1,1,1,36,433,30.0,0,0,1,835,2
2,1,1,1,34,433,30.0,0,0,1,2065,2
2,0,0,1,29,433,30.0,0,0,1,1390,2
6,1,1,1,27,1150,15.0,0,0,1,2065,0
5,1,1,1,34,408,22.5,0,1,0,2329,2
3,1,1,1,37,433,30.0,0,0,1,2061,2
2,1,1,1,38,766,15.0,0,0,1,2065,2
2,0,1,1,37,433,30.0,0,0,1,2201,2
3,1,3,0,33,433,30.0,0,0,1,2276,2
2,1,1,1,41,433,30.0,0,1,0,2065,2
4,0,1,1,55,433,30.0,0,0,1,1632,1
15,1,1,1,33,1100,10.0,0,1,0,2065,2
3,0,1,1,39,433,30.0,0,0,1,2276,2
4,1,1,1,35,816,22.5,0,0,1,2065,2
3,1,1,1,40,766,15.0,0,0,1,2065,2
2,1,1,1,41,433,30.0,0,0,1,2065,2
5,1,1,1,58,408,22.5,0,0,1,1631,2
2,1,3,1,41,433,30.0,0,0,1,1003,2
2,0,1,1,32,433,30.0,0,0,1,1048,0
12,1,1,1,35,1466,10.0,0,1,0,1003,2
3,1,1,1,39,433,30.0,0,0,1,2201,2
3,1,3,0,39,433,30.0,0,0,1,2065,2
8,1,1,1,30,816,22.5,0,0,1,2276,2
2,0,1,1,41,766,15.0,0,0,1,2065,1
5,1,1,1,40,816,22.5,0,0,1,2065,2
10,1,1,1,45,650,30.0,0,1,0,2065,2
2,1,1,1,40,433,30.0,0,0,1,2061,1
5,1,1,1,32,816,22.5,0,0,1,2065,1
12,1,1,1,35,800,20.0,0,1,0,1003,2
8,0,1,1,40,1150,15.0,0,0,1,1048,2
5,1,1,1,44,766,15.0,0,0,1,2065,2
10,1,1,1,34,650,30.0,0,1,0,2065,2
3,0,0,1,35,766,15.0,0,0,1,2065,2
5,1,3,1,45,816,22.5,0,0,1,2065,1
2,1,1,1,38,433,30.0,0,0,1,2065,2
2,1,1,1,33,433,30.0,0,0,1,2201,2
2,1,1,1,33,433,30.0,0,0,1,2065,2
2,1,1,1,34,433,30.0,0,0,1,2065,2
2,1,1,1,40,766,15.0,0,0,1,2065,2
6,1,1,1,35,816,22.5,0,0,1,2276,1
6,0,1,1,38,816,22.5,0,1,0,2065,2
2,1,1,0,38,433,30.0,0,0,1,2065,2
13,1,1,1,32,1150,15.0,0,0,1,798,2
2,1,1,1,30,766,15.0,0,0,1,1632,2
8,1,1,0,45,1150,15.0,0,0,1,2065,1
2,0,1,1,50,433,30.0,0,0,1,2065,1
2,1,1,1,33,433,30.0,0,0,1,2276,2
12,0,1,1,40,1466,10.0,0,1,0,1632,2
5,1,1,1,32,766,15.0,0,0,1,2065,2
2,1,1,1,43,433,30.0,0,0,1,2329,2
2,1,1,1,37,433,30.0,0,0,1,2065,2
5,1,1,1,42,433,30.0,0,0,1,60365,2
4,1,1,1,44,816,22.5,0,0,1,2065,2
3,1,1,1,38,433,30.0,0,0,1,2201,2
4,0,1,1,36,816,22.5,0,0,1,1003,2
6,1,1,1,35,816,22.5,0,0,1,1632,2
9,1,1,1,34,1150,15.0,0,1,0,2065,0
6,0,1,0,31,1150,15.0,0,0,1,2065,2
14,1,1,0,45,1466,10.0,0,1,0,2065,2
2,1,1,0,40,433,30.0,0,0,1,2065,2
2,1,1,0,37,433,30.0,0,0,1,1048,2
4,1,3,0,43,1150,15.0,0,0,1,2201,1
3,1,1,0,35,766,15.0,0,0,1,2065,1
4,0,1,0,50,433,30.0,0,0,1,2065,2
2,0,1,0,30,766,15.0,0,0,1,1048,2
14,1,1,1,52,1466,10.0,0,0,1,2065,2
11,0,1,0,39,800,20.0,0,1,0,2061,2
9,1,1,1,31,1283,10.0,0,1,0,2065,2
11,1,1,1,38,1466,10.0,0,1,0,2230,2
11,1,1,1,38,638,15.0,0,1,0,1390,2
9,1,1,1,33,800,20.0,0,1,0,2201,2
4,1,1,1,35,741,11.25,0,0,1,2065,2
3,1,3,1,56,433,30.0,0,0,1,2276,2
2,1,1,1,31,766,15.0,0,0,1,2065,2
2,1,1,1,49,433,30.0,0,0,1,2273,1
6,1,1,0,36,816,22.5,0,0,1,2065,2
9,1,1,1,29,800,20.0,0,0,1,1631,0
14,1,1,1,44,1750,5.0,0,0,1,539,2
2,1,3,1,33,766,15.0,0,0,1,2065,2
8,0,1,1,39,650,30.0,0,0,1,1003,2
2,1,1,1,50,766,15.0,0,0,1,2065,1
2,1,1,1,44,766,15.0,1,0,0,2201,2
2,1,1,1,42,433,30.0,0,0,1,2065,2
3,0,1,1,39,433,30.0,0,0,1,2065,2
2,0,0,0,46,433,30.0,0,0,1,2065,2
3,1,3,1,40,766,15.0,0,0,1,2201,1
4,1,1,1,36,816,22.5,0,0,1,2065,2
2,1,3,1,30,766,15.0,0,0,1,2065,2
7,1,1,1,37,1466,10.0,0,1,0,2065,2
12,0,1,1,32,800,20.0,0,1,0,2065,0
2,1,1,1,34,766,15.0,0,0,1,2065,2
8,1,1,1,41,766,15.0,0,0,1,1632,1
8,1,1,1,38,1150,15.0,0,0,1,2065,1
4,1,1,1,50,816,22.5,0,0,1,981,1
7,1,1,1,35,1150,15.0,0,0,1,1632,1
2,1,1,1,43,766,15.0,0,0,1,2065,2
2,1,3,1,35,766,15.0,0,0,1,2065,2
12,1,1,1,31,1466,10.0,0,0,1,934,2
2,1,1,1,32,433,30.0,0,0,1,2201,1
2,0,0,0,40,433,30.0,0,0,1,2276,2
2,1,1,0,27,433,30.0,0,0,1,1901,1
3,0,1,0,49,433,30.0,0,0,1,2065,1
3,0,1,0,35,433,30.0,0,0,1,2329,1
5,1,1,0,26,816,22.5,0,0,1,1390,2
2,1,3,0,41,766,15.0,0,0,1,2061,2
2,1,1,0,43,766,15.0,0,0,1,1632,2
3,1,1,1,43,433,30.0,0,0,1,2065,2
13,0,1,1,48,1466,10.0,0,0,1,2276,2
6,0,1,0,45,433,30.0,1,0,0,1064,2
10,1,1,1,29,800,20.0,0,1,0,2329,2
9,1,1,1,38,1150,15.0,0,1,0,2065,2
10,0,1,0,36,650,30.0,0,1,0,1632,2
7,1,1,1,40,1150,15.0,0,1,0,2065,2
4,1,1,1,47,816,22.5,0,0,1,2061,2
2,1,1,1,28,766,15.0,0,0,1,2065,1
3,1,1,1,37,766,15.0,0,0,1,1709,1
3,1,1,1,34,433,30.0,0,0,1,1709,2
7,1,1,1,34,1483,11.25,0,0,1,2065,2
4,1,1,1,36,816,22.5,0,0,1,2065,2
11,1,1,1,27,766,15.0,0,0,1,2065,2
9,1,1,1,39,1150,15.0,0,1,0,2065,2
2,1,3,1,42,433,30.0,0,0,1,2065,2
14,1,1,1,33,1466,10.0,0,1,0,1901,2
2,1,1,1,40,433,30.0,0,0,1,791,2
2,1,1,1,33,433,30.0,0,0,1,900,2
2,1,1,1,32,766,15.0,0,0,1,2065,2
3,1,3,1,40,433,30.0,0,0,1,2065,1
5,1,1,1,42,816,22.5,0,0,1,2065,1
3,1,1,1,40,800,20.0,0,0,1,2201,1
2,1,1,1,43,766,15.0,0,0,1,2065,2
2,1,3,1,31,433,30.0,0,0,1,2065,2
10,1,1,1,34,1466,10.0,0,0,1,2061,2
4,1,1,1,35,816,22.5,0,0,1,2208,2
8,1,1,1,57,816,22.5,0,0,1,2329,2
2,1,1,0,39,433,30.0,0,0,1,2201,2
8,1,1,1,36,1150,15.0,0,0,1,2065,2
4,0,1,1,35,433,30.0,0,0,1,2329,1
2,1,1,1,40,433,30.0,0,0,1,2065,2
14,1,1,1,27,1466,10.0,0,0,1,907,2
3,0,1,0,41,433,30.0,0,0,1,1390,2
2,1,1,1,46,433,30.0,0,0,1,2201,2
3,1,1,1,31,766,15.0,0,0,1,2065,0
3,1,1,1,30,433,30.0,0,0,1,2065,2
5,0,1,1,33,1483,11.25,0,0,1,2065,2
3,1,1,1,34,433,30.0,0,0,1,2061,2
2,1,3,1,38,433,30.0,0,0,1,2065,2
2,1,3,1,46,433,30.0,0,0,1,2273,1
2,1,3,1,47,433,30.0,0,0,1,2065,2
4,0,1,0,30,433,30.0,0,0,1,2065,1
4,1,1,0,33,433,30.0,0,0,1,2065,2
2,1,1,1,38,433,30.0,0,1,0,2065,1
2,1,3,1,39,766,15.0,0,0,1,1048,2
10,1,1,1,34,800,20.0,0,0,1,2061,2
6,1,1,1,39,766,15.0,0,0,1,2065,2
4,1,3,1,43,816,22.5,0,0,1,2061,2
4,1,1,1,39,816,22.5,0,0,1,2329,2
3,1,1,1,33,766,15.0,0,0,1,2065,2
9,1,1,1,34,733,10.0,0,0,1,1003,2
2,1,1,1,27,433,30.0,0,0,1,2065,0
11,1,1,1,35,1150,15.0,0,1,0,2065,2
9,1,1,1,31,800,20.0,0,0,1,2065,2
5,1,1,1,49,816,22.5,0,0,1,609,2
2,1,3,1,41,766,15.0,0,0,1,2201,1
2,1,3,1,35,766,15.0,0,0,1,2276,2
13,1,1,0,27,916,10.0,0,0,1,539,0
5,1,3,1,37,1483,11.25,0,0,1,2276,2
5,0,1,1,43,433,30.0,0,0,1,1632,1
2,1,3,1,35,433,30.0,0,0,1,2201,1
2,1,1,1,34,766,15.0,0,0,1,2065,2
2,1,1,0,30,433,30.0,0,0,1,2065,2
8,1,1,1,30,650,30.0,0,1,0,2065,2
3,0,1,1,33,433,30.0,0,1,0,2201,2
8,0,1,1,35,1150,15.0,0,0,1,2065,2
2,1,1,1,48,433,30.0,0,0,1,2201,2
4,1,3,1,47,816,22.5,0,0,1,2061,2
2,1,3,1,40,433,30.0,0,0,1,1632,2
5,1,1,1,36,816,22.5,0,0,1,2201,2
2,1,1,1,33,766,15.0,0,0,1,934,2
2,1,1,1,33,766,15.0,0,0,1,2065,1
11,1,1,1,37,1466,10.0,0,0,1,1003,2
2,1,3,0,34,766,15.0,0,0,1,2061,2
5,1,1,1,40,816,22.5,0,1,0,1632,2
6,1,1,1,45,816,22.5,0,0,1,2065,2
12,0,1,0,39,1466,10.0,0,0,1,1632,2
4,1,3,0,41,612,22.5,0,0,1,2061,2
2,0,1,0,33,766,15.0,0,0,1,1048,2
2,1,1,0,29,766,15.0,0,0,1,1631,1
2,1,1,0,36,433,30.0,0,0,1,2276,0
2,0,1,0,33,766,15.0,0,0,1,2065,2
7,1,1,1,34,800,20.0,0,1,0,2065,2
10,0,1,1,33,433,30.0,0,1,0,2065,2
2,1,1,1,38,433,30.0,0,0,1,2065,2
9,1,1,1,52,1150,15.0,0,0,1,2065,2
2,1,1,1,35,433,30.0,0,0,1,2065,1
4,1,1,1,33,741,11.25,0,0,1,2065,2
6,0,1,1,31,433,30.0,0,1,0,2065,2
12,1,1,1,37,1466,10.0,0,1,0,2201,2
8,1,1,1,41,1150,15.0,0,0,1,934,1
5,1,1,1,47,816,22.5,0,0,1,1390,2
2,1,3,1,30,766,15.0,0,0,1,2201,2
2,1,1,1,43,433,30.0,0,0,1,2201,2
5,1,1,1,34,408,22.5,0,0,1,2065,1
2,1,1,1,38,433,30.0,0,0,1,2201,2
4,0,1,1,48,766,15.0,0,1,0,904,2
11,1,1,1,32,1466,10.0,0,0,1,2065,2
3,0,1,0,40,766,15.0,0,0,1,798,2
2,1,3,1,38,433,30.0,0,0,1,1003,1
2,1,3,1,39,433,30.0,0,0,1,2065,2
9,0,1,1,41,958,15.0,0,1,0,1632,2
2,1,3,1,40,433,30.0,0,0,1,2065,2
8,0,1,1,42,433,30.0,0,1,0,2061,2
2,1,3,1,34,766,15.0,0,0,1,2065,2
2,1,1,1,58,433,30.0,0,0,1,2276,2
4,1,1,1,31,816,22.5,0,0,1,2061,1
3,1,1,1,37,433,30.0,0,0,1,539,2
9,1,1,1,44,1150,15.0,0,1,0,1632,2
9,0,1,1,42,766,15.0,0,1,0,2065,2
4,1,3,0,43,1483,11.25,0,0,1,2065,1
7,1,1,1,41,650,30.0,0,0,1,1632,1
2,1,3,1,39,766,15.0,0,0,1,2276,1
4,1,3,1,36,741,11.25,0,0,1,1684,2
4,1,1,1,31,816,22.5,0,0,1,2276,2
2,1,1,1,38,766,15.0,0,0,1,2065,2
10,0,1,1,37,800,20.0,0,1,0,2065,2
8,1,1,1,44,1150,15.0,0,1,0,2065,2
7,1,1,0,33,1433,7.5,0,0,1,2061,2
7,1,1,0,31,650,30.0,0,0,1,2065,2
2,1,1,0,39,433,30.0,0,0,1,2065,2
2,0,0,0,38,433,30.0,0,0,1,2065,2
10,1,1,0,30,800,20.0,0,1,0,1901,0
10,1,1,1,38,700,5.0,0,0,1,2065,2
3,1,1,1,46,816,22.5,0,0,1,1632,2
3,1,1,0,32,433,30.0,0,0,1,2065,2
6,0,1,1,41,433,30.0,0,1,0,2061,2
5,0,1,0,36,816,22.5,0,1,0,2276,2
10,1,1,1,32,600,20.0,0,0,1,2065,2
4,1,1,1,40,816,22.5,0,0,1,2065,2
2,1,1,1,29,433,30.0,0,0,1,2201,2
5,1,1,1,32,816,22.5,0,0,1,2201,2
2,0,1,1,26,433,30.0,0,0,1,1632,2
3,1,1,1,29,433,30.0,0,0,1,2065,2
8,1,1,1,40,1150,15.0,0,1,0,2065,2
2,1,1,1,29,433,30.0,0,0,1,2329,2
2,1,3,1,57,433,30.0,0,0,1,1064,1
7,1,1,1,34,1150,15.0,0,0,1,1632,2
2,1,1,1,30,416,25.0,0,0,1,2065,2
10,1,1,0,41,700,20.0,0,0,1,2065,0
3,0,1,0,37,766,15.0,0,0,1,2065,2
11,0,1,0,36,650,30.0,0,0,1,2273,2
7,1,1,1,36,650,30.0,0,0,1,2065,2
13,1,1,1,27,1466,10.0,0,0,1,1064,0
9,0,1,1,30,766,15.0,0,1,0,2065,2
10,0,1,0,38,816,22.5,0,0,1,2065,2
4,0,1,0,28,433,30.0,0,0,1,40947,2
3,0,1,1,33,1483,11.25,0,1,0,2061,0
4,1,1,1,40,816,22.5,0,0,1,798,2
8,0,1,1,48,1150,15.0,0,0,1,1632,1
2,1,1,1,49,766,15.0,0,0,1,2065,1
3,0,0,0,35,416,25.0,0,0,1,1650,2
3,1,1,1,32,766,15.0,0,0,1,2065,2
6,1,3,1,31,816,22.5,0,0,1,929,2
4,0,1,0,35,433,30.0,0,0,1,2065,1
10,1,1,1,43,1150,15.0,0,0,1,2065,2
2,1,1,1,37,433,30.0,0,0,1,2065,2
2,1,1,1,39,433,30.0,0,0,1,2061,1
7,1,1,1,38,816,22.5,0,1,0,2065,2
6,1,1,1,50,816,22.5,0,0,1,2061,2
5,1,1,0,44,1483,11.25,0,0,1,2065,2
9,1,1,1,41,816,22.5,0,1,0,981,2
2,1,3,1,46,766,15.0,0,0,1,2065,2
2,1,1,0,37,433,30.0,0,0,1,2061,2
5,0,1,0,44,433,30.0,0,0,1,2065,2
3,0,0,1,33,433,30.0,0,0,1,2065,2
3,0,1,0,35,766,15.0,0,0,1,2065,2
2,1,1,0,26,766,15.0,0,0,1,2273,0
12,1,1,1,36,1150,15.0,0,0,1,2065,2
7,1,1,1,38,816,22.5,0,1,0,2065,2
2,1,3,1,45,433,30.0,0,0,1,2065,2
2,1,1,1,31,433,30.0,0,0,1,1709,2
2,1,1,1,39,766,15.0,0,0,1,2065,2
9,1,1,1,40,1150,15.0,0,0,1,934,2
4,0,0,1,33,816,22.5,0,0,1,981,1
4,0,1,1,39,433,30.0,0,0,1,2065,2
4,1,1,1,31,816,22.5,0,0,1,2065,2
7,1,1,1,40,1150,15.0,0,0,1,1048,2
3,0,1,1,35,766,15.0,0,0,1,2065,2
2,1,1,1,40,766,15.0,0,0,1,2061,1
2,1,1,1,29,433,30.0,0,0,1,2065,2
3,1,1,1,35,433,30.0,0,0,1,2065,0
4,1,1,1,31,816,22.5,0,0,1,1632,1
3,1,1,1,40,433,30.0,0,0,1,2065,2
2,1,1,1,42,433,30.0,0,0,1,2065,2
11,1,1,1,31,800,20.0,0,1,0,2065,2
3,1,3,0,34,433,30.0,0,0,1,1631,2
5,1,1,1,30,433,30.0,0,0,1,1048,2
4,1,1,1,32,816,22.5,0,0,1,2276,2
2,1,1,1,56,433,30.0,0,0,1,2065,2
3,0,1,1,31,433,30.0,0,0,1,2065,2
3,1,3,1,44,816,22.5,0,0,1,1632,1
9,1,1,1,42,816,22.5,0,0,1,2065,2
7,1,1,1,43,1150,15.0,0,0,1,2065,1
2,1,3,1,39,433,30.0,0,0,1,1632,2
2,1,3,1,42,433,30.0,0,0,1,2065,1
12,1,1,1,33,638,15.0,0,1,0,636,0
2,1,3,1,50,433,30.0,0,0,1,1632,2
14,1,1,1,54,1466,10.0,0,0,1,1632,2
2,0,1,0,31,766,15.0,0,0,1,2065,2
2,1,1,1,29,433,30.0,0,0,1,2065,2
4,1,1,1,32,816,22.5,0,0,1,2065,2
7,1,3,1,37,1150,15.0,0,0,1,1632,2
6,1,1,1,42,816,22.5,0,0,1,2065,2
3,1,1,0,40,433,30.0,0,0,1,2065,1
2,1,1,1,35,433,30.0,0,0,1,2065,2
2,1,3,1,33,766,15.0,0,0,1,2061,2
10,1,1,1,28,916,10.0,0,1,0,2065,0
2,1,1,1,49,433,30.0,0,0,1,2065,2
7,1,1,1,37,1150,15.0,0,0,1,2065,1
3,1,3,1,39,433,30.0,0,0,1,2201,2
3,0,1,1,33,433,30.0,0,0,1,2201,2
8,1,1,0,32,816,22.5,0,0,1,2065,2
4,1,3,1,44,816,22.5,0,0,1,2065,2
3,1,1,1,39,433,30.0,0,0,1,2065,2
2,1,1,1,40,433,30.0,0,0,1,2273,2
2,1,1,0,32,433,30.0,0,0,1,2065,1
4,0,1,1,36,1483,11.25,0,0,1,1632,2
12,1,1,0,41,1466,10.0,0,0,1,2201,2
2,1,3,1,39,433,30.0,0,0,1,1064,2
2,1,3,1,36,433,30.0,0,0,1,1632,2
3,1,3,1,34,766,15.0,0,0,1,2276,2
2,1,1,1,39,433,30.0,0,0,1,1631,2
2,1,1,1,35,766,15.0,0,0,1,1048,2
5,1,1,1,46,1483,11.25,0,0,1,2065,1
4,1,1,1,45,612,22.5,0,0,1,2065,1
3,1,1,1,29,433,30.0,0,0,1,2065,2
3,1,3,1,37,433,30.0,0,0,1,2065,2
12,0,1,1,28,741,11.25,0,1,0,2065,2
12,0,1,1,32,816,22.5,0,1,0,2065,2
2,1,3,1,34,433,30.0,0,0,1,1684,2
2,1,1,1,40,766,15.0,0,0,1,1003,2
11,1,1,0,33,638,15.0,0,1,0,2329,2
7,0,1,1,30,433,30.0,0,1,0,1064,2
5,1,1,1,33,1483,11.25,0,0,1,2065,2
2,1,3,1,38,433,30.0,1,0,0,1099,2
5,1,1,1,34,816,22.5,0,0,1,2201,2
3,0,1,0,41,433,30.0,0,0,1,2065,2
2,0,1,0,31,433,30.0,0,0,1,2065,1
5,1,3,0,35,816,22.5,0,0,1,2329,2
3,0,0,0,35,433,30.0,0,0,1,2201,2
10,1,1,0,28,650,30.0,0,0,1,1390,2
